element_name	element_type	readonly_metaslot	metaslot_value	schema_file
abs_air_humidity	slot	from_schema	http://w3id.org/mixs/terms	mixs.yaml
add_recov_method	slot	from_schema	http://w3id.org/mixs/terms	mixs.yaml
additional_info	slot	from_schema	http://w3id.org/mixs/terms	mixs.yaml
address	slot	from_schema	http://w3id.org/mixs/terms	mixs.yaml
adj_room	slot	from_schema	http://w3id.org/mixs/terms	mixs.yaml
aero_struc	slot	from_schema	http://w3id.org/mixs/terms	mixs.yaml
agrochem_addition	slot	from_schema	http://w3id.org/mixs/terms	mixs.yaml
air_PM_concen	slot	from_schema	http://w3id.org/mixs/terms	mixs.yaml
air_temp	slot	from_schema	http://w3id.org/mixs/terms	mixs.yaml
air_temp_regm	slot	from_schema	http://w3id.org/mixs/terms	mixs.yaml
al_sat	slot	from_schema	http://w3id.org/mixs/terms	mixs.yaml
al_sat_meth	slot	from_schema	http://w3id.org/mixs/terms	mixs.yaml
alkalinity	slot	from_schema	http://w3id.org/mixs/terms	mixs.yaml
alkalinity_method	slot	from_schema	http://w3id.org/mixs/terms	mixs.yaml
alkyl_diethers	slot	from_schema	http://w3id.org/mixs/terms	mixs.yaml
alt	slot	from_schema	http://w3id.org/mixs/terms	mixs.yaml
aminopept_act	slot	from_schema	http://w3id.org/mixs/terms	mixs.yaml
ammonium	slot	from_schema	http://w3id.org/mixs/terms	mixs.yaml
amount_light	slot	from_schema	http://w3id.org/mixs/terms	mixs.yaml
ances_data	slot	from_schema	http://w3id.org/mixs/terms	mixs.yaml
annual_precpt	slot	from_schema	http://w3id.org/mixs/terms	mixs.yaml
annual_temp	slot	from_schema	http://w3id.org/mixs/terms	mixs.yaml
antibiotic_regm	slot	from_schema	http://w3id.org/mixs/terms	mixs.yaml
api	slot	from_schema	http://w3id.org/mixs/terms	mixs.yaml
arch_struc	slot	from_schema	http://w3id.org/mixs/terms	mixs.yaml
aromatics_pc	slot	from_schema	http://w3id.org/mixs/terms	mixs.yaml
asphaltenes_pc	slot	from_schema	http://w3id.org/mixs/terms	mixs.yaml
atmospheric_data	slot	from_schema	http://w3id.org/mixs/terms	mixs.yaml
avg_dew_point	slot	from_schema	http://w3id.org/mixs/terms	mixs.yaml
avg_occup	slot	from_schema	http://w3id.org/mixs/terms	mixs.yaml
avg_temp	slot	from_schema	http://w3id.org/mixs/terms	mixs.yaml
bac_prod	slot	from_schema	http://w3id.org/mixs/terms	mixs.yaml
bac_resp	slot	from_schema	http://w3id.org/mixs/terms	mixs.yaml
bacteria_carb_prod	slot	from_schema	http://w3id.org/mixs/terms	mixs.yaml
barometric_press	slot	from_schema	http://w3id.org/mixs/terms	mixs.yaml
basin	slot	from_schema	http://w3id.org/mixs/terms	mixs.yaml
bathroom_count	slot	from_schema	http://w3id.org/mixs/terms	mixs.yaml
bedroom_count	slot	from_schema	http://w3id.org/mixs/terms	mixs.yaml
benzene	slot	from_schema	http://w3id.org/mixs/terms	mixs.yaml
biochem_oxygen_dem	slot	from_schema	http://w3id.org/mixs/terms	mixs.yaml
biocide	slot	from_schema	http://w3id.org/mixs/terms	mixs.yaml
biocide_admin_method	slot	from_schema	http://w3id.org/mixs/terms	mixs.yaml
biol_stat	slot	from_schema	http://w3id.org/mixs/terms	mixs.yaml
biomass	slot	from_schema	http://w3id.org/mixs/terms	mixs.yaml
biotic_regm	slot	from_schema	http://w3id.org/mixs/terms	mixs.yaml
biotic_relationship	slot	from_schema	http://w3id.org/mixs/terms	mixs.yaml
bishomohopanol	slot	from_schema	http://w3id.org/mixs/terms	mixs.yaml
blood_press_diast	slot	from_schema	http://w3id.org/mixs/terms	mixs.yaml
blood_press_syst	slot	from_schema	http://w3id.org/mixs/terms	mixs.yaml
bromide	slot	from_schema	http://w3id.org/mixs/terms	mixs.yaml
build_docs	slot	from_schema	http://w3id.org/mixs/terms	mixs.yaml
build_occup_type	slot	from_schema	http://w3id.org/mixs/terms	mixs.yaml
building_setting	slot	from_schema	http://w3id.org/mixs/terms	mixs.yaml
built_struc_age	slot	from_schema	http://w3id.org/mixs/terms	mixs.yaml
built_struc_set	slot	from_schema	http://w3id.org/mixs/terms	mixs.yaml
built_struc_type	slot	from_schema	http://w3id.org/mixs/terms	mixs.yaml
calcium	slot	from_schema	http://w3id.org/mixs/terms	mixs.yaml
carb_dioxide	slot	from_schema	http://w3id.org/mixs/terms	mixs.yaml
carb_monoxide	slot	from_schema	http://w3id.org/mixs/terms	mixs.yaml
carb_nitro_ratio	slot	from_schema	http://w3id.org/mixs/terms	mixs.yaml
ceil_area	slot	from_schema	http://w3id.org/mixs/terms	mixs.yaml
ceil_cond	slot	from_schema	http://w3id.org/mixs/terms	mixs.yaml
ceil_finish_mat	slot	from_schema	http://w3id.org/mixs/terms	mixs.yaml
ceil_struc	slot	from_schema	http://w3id.org/mixs/terms	mixs.yaml
ceil_texture	slot	from_schema	http://w3id.org/mixs/terms	mixs.yaml
ceil_thermal_mass	slot	from_schema	http://w3id.org/mixs/terms	mixs.yaml
ceil_type	slot	from_schema	http://w3id.org/mixs/terms	mixs.yaml
ceil_water_mold	slot	from_schema	http://w3id.org/mixs/terms	mixs.yaml
chem_administration	slot	from_schema	http://w3id.org/mixs/terms	mixs.yaml
chem_mutagen	slot	from_schema	http://w3id.org/mixs/terms	mixs.yaml
chem_oxygen_dem	slot	from_schema	http://w3id.org/mixs/terms	mixs.yaml
chem_treat_method	slot	from_schema	http://w3id.org/mixs/terms	mixs.yaml
chem_treatment	slot	from_schema	http://w3id.org/mixs/terms	mixs.yaml
chimera_check	slot	from_schema	http://w3id.org/mixs/terms	mixs.yaml
chloride	slot	from_schema	http://w3id.org/mixs/terms	mixs.yaml
chlorophyll	slot	from_schema	http://w3id.org/mixs/terms	mixs.yaml
climate_environment	slot	from_schema	http://w3id.org/mixs/terms	mixs.yaml
collection_date	slot	from_schema	http://w3id.org/mixs/terms	mixs.yaml
conduc	slot	from_schema	http://w3id.org/mixs/terms	mixs.yaml
cool_syst_id	slot	from_schema	http://w3id.org/mixs/terms	mixs.yaml
crop_rotation	slot	from_schema	http://w3id.org/mixs/terms	mixs.yaml
cult_root_med	slot	from_schema	http://w3id.org/mixs/terms	mixs.yaml
cur_land_use	slot	from_schema	http://w3id.org/mixs/terms	mixs.yaml
cur_vegetation	slot	from_schema	http://w3id.org/mixs/terms	mixs.yaml
cur_vegetation_meth	slot	from_schema	http://w3id.org/mixs/terms	mixs.yaml
date_last_rain	slot	from_schema	http://w3id.org/mixs/terms	mixs.yaml
density	slot	from_schema	http://w3id.org/mixs/terms	mixs.yaml
depos_env	slot	from_schema	http://w3id.org/mixs/terms	mixs.yaml
depth	slot	from_schema	http://w3id.org/mixs/terms	mixs.yaml
dew_point	slot	from_schema	http://w3id.org/mixs/terms	mixs.yaml
diether_lipids	slot	from_schema	http://w3id.org/mixs/terms	mixs.yaml
diss_carb_dioxide	slot	from_schema	http://w3id.org/mixs/terms	mixs.yaml
diss_hydrogen	slot	from_schema	http://w3id.org/mixs/terms	mixs.yaml
diss_inorg_carb	slot	from_schema	http://w3id.org/mixs/terms	mixs.yaml
diss_inorg_nitro	slot	from_schema	http://w3id.org/mixs/terms	mixs.yaml
diss_inorg_phosp	slot	from_schema	http://w3id.org/mixs/terms	mixs.yaml
diss_iron	slot	from_schema	http://w3id.org/mixs/terms	mixs.yaml
diss_org_carb	slot	from_schema	http://w3id.org/mixs/terms	mixs.yaml
diss_org_nitro	slot	from_schema	http://w3id.org/mixs/terms	mixs.yaml
diss_oxygen	slot	from_schema	http://w3id.org/mixs/terms	mixs.yaml
diss_oxygen_fluid	slot	from_schema	http://w3id.org/mixs/terms	mixs.yaml
door_comp_type	slot	from_schema	http://w3id.org/mixs/terms	mixs.yaml
door_cond	slot	from_schema	http://w3id.org/mixs/terms	mixs.yaml
door_direct	slot	from_schema	http://w3id.org/mixs/terms	mixs.yaml
door_loc	slot	from_schema	http://w3id.org/mixs/terms	mixs.yaml
door_mat	slot	from_schema	http://w3id.org/mixs/terms	mixs.yaml
door_move	slot	from_schema	http://w3id.org/mixs/terms	mixs.yaml
door_size	slot	from_schema	http://w3id.org/mixs/terms	mixs.yaml
door_type	slot	from_schema	http://w3id.org/mixs/terms	mixs.yaml
door_type_metal	slot	from_schema	http://w3id.org/mixs/terms	mixs.yaml
door_type_wood	slot	from_schema	http://w3id.org/mixs/terms	mixs.yaml
door_water_mold	slot	from_schema	http://w3id.org/mixs/terms	mixs.yaml
down_par	slot	from_schema	http://w3id.org/mixs/terms	mixs.yaml
drainage_class	slot	from_schema	http://w3id.org/mixs/terms	mixs.yaml
drawings	slot	from_schema	http://w3id.org/mixs/terms	mixs.yaml
efficiency_percent	slot	from_schema	http://w3id.org/mixs/terms	mixs.yaml
elev	slot	from_schema	http://w3id.org/mixs/terms	mixs.yaml
elevator	slot	from_schema	http://w3id.org/mixs/terms	mixs.yaml
emulsions	slot	from_schema	http://w3id.org/mixs/terms	mixs.yaml
env_broad_scale	slot	from_schema	http://w3id.org/mixs/terms	mixs.yaml
env_local_scale	slot	from_schema	http://w3id.org/mixs/terms	mixs.yaml
env_medium	slot	from_schema	http://w3id.org/mixs/terms	mixs.yaml
escalator	slot	from_schema	http://w3id.org/mixs/terms	mixs.yaml
ethylbenzene	slot	from_schema	http://w3id.org/mixs/terms	mixs.yaml
exp_duct	slot	from_schema	http://w3id.org/mixs/terms	mixs.yaml
exp_pipe	slot	from_schema	http://w3id.org/mixs/terms	mixs.yaml
experimental_factor	slot	from_schema	http://w3id.org/mixs/terms	mixs.yaml
ext_door	slot	from_schema	http://w3id.org/mixs/terms	mixs.yaml
ext_wall_orient	slot	from_schema	http://w3id.org/mixs/terms	mixs.yaml
ext_window_orient	slot	from_schema	http://w3id.org/mixs/terms	mixs.yaml
extreme_event	slot	from_schema	http://w3id.org/mixs/terms	mixs.yaml
fao_class	slot	from_schema	http://w3id.org/mixs/terms	mixs.yaml
fertilizer_regm	slot	from_schema	http://w3id.org/mixs/terms	mixs.yaml
field	slot	from_schema	http://w3id.org/mixs/terms	mixs.yaml
filter_type	slot	from_schema	http://w3id.org/mixs/terms	mixs.yaml
fire	slot	from_schema	http://w3id.org/mixs/terms	mixs.yaml
fireplace_type	slot	from_schema	http://w3id.org/mixs/terms	mixs.yaml
flooding	slot	from_schema	http://w3id.org/mixs/terms	mixs.yaml
floor_age	slot	from_schema	http://w3id.org/mixs/terms	mixs.yaml
floor_area	slot	from_schema	http://w3id.org/mixs/terms	mixs.yaml
floor_cond	slot	from_schema	http://w3id.org/mixs/terms	mixs.yaml
floor_count	slot	from_schema	http://w3id.org/mixs/terms	mixs.yaml
floor_finish_mat	slot	from_schema	http://w3id.org/mixs/terms	mixs.yaml
floor_struc	slot	from_schema	http://w3id.org/mixs/terms	mixs.yaml
floor_thermal_mass	slot	from_schema	http://w3id.org/mixs/terms	mixs.yaml
floor_water_mold	slot	from_schema	http://w3id.org/mixs/terms	mixs.yaml
fluor	slot	from_schema	http://w3id.org/mixs/terms	mixs.yaml
freq_clean	slot	from_schema	http://w3id.org/mixs/terms	mixs.yaml
freq_cook	slot	from_schema	http://w3id.org/mixs/terms	mixs.yaml
fungicide_regm	slot	from_schema	http://w3id.org/mixs/terms	mixs.yaml
furniture	slot	from_schema	http://w3id.org/mixs/terms	mixs.yaml
gaseous_environment	slot	from_schema	http://w3id.org/mixs/terms	mixs.yaml
gaseous_substances	slot	from_schema	http://w3id.org/mixs/terms	mixs.yaml
gender_restroom	slot	from_schema	http://w3id.org/mixs/terms	mixs.yaml
genetic_mod	slot	from_schema	http://w3id.org/mixs/terms	mixs.yaml
geo_loc_name	slot	from_schema	http://w3id.org/mixs/terms	mixs.yaml
glucosidase_act	slot	from_schema	http://w3id.org/mixs/terms	mixs.yaml
gravidity	slot	from_schema	http://w3id.org/mixs/terms	mixs.yaml
gravity	slot	from_schema	http://w3id.org/mixs/terms	mixs.yaml
growth_facil	slot	from_schema	http://w3id.org/mixs/terms	mixs.yaml
growth_habit	slot	from_schema	http://w3id.org/mixs/terms	mixs.yaml
growth_hormone_regm	slot	from_schema	http://w3id.org/mixs/terms	mixs.yaml
hall_count	slot	from_schema	http://w3id.org/mixs/terms	mixs.yaml
handidness	slot	from_schema	http://w3id.org/mixs/terms	mixs.yaml
hc_produced	slot	from_schema	http://w3id.org/mixs/terms	mixs.yaml
hcr	slot	from_schema	http://w3id.org/mixs/terms	mixs.yaml
hcr_fw_salinity	slot	from_schema	http://w3id.org/mixs/terms	mixs.yaml
hcr_geol_age	slot	from_schema	http://w3id.org/mixs/terms	mixs.yaml
hcr_pressure	slot	from_schema	http://w3id.org/mixs/terms	mixs.yaml
hcr_temp	slot	from_schema	http://w3id.org/mixs/terms	mixs.yaml
heat_cool_type	slot	from_schema	http://w3id.org/mixs/terms	mixs.yaml
heat_deliv_loc	slot	from_schema	http://w3id.org/mixs/terms	mixs.yaml
heat_sys_deliv_meth	slot	from_schema	http://w3id.org/mixs/terms	mixs.yaml
heat_system_id	slot	from_schema	http://w3id.org/mixs/terms	mixs.yaml
heavy_metals	slot	from_schema	http://w3id.org/mixs/terms	mixs.yaml
heavy_metals_meth	slot	from_schema	http://w3id.org/mixs/terms	mixs.yaml
height_carper_fiber	slot	from_schema	http://w3id.org/mixs/terms	mixs.yaml
herbicide_regm	slot	from_schema	http://w3id.org/mixs/terms	mixs.yaml
horizon_meth	slot	from_schema	http://w3id.org/mixs/terms	mixs.yaml
host_age	slot	from_schema	http://w3id.org/mixs/terms	mixs.yaml
host_body_habitat	slot	from_schema	http://w3id.org/mixs/terms	mixs.yaml
host_body_product	slot	from_schema	http://w3id.org/mixs/terms	mixs.yaml
host_body_site	slot	from_schema	http://w3id.org/mixs/terms	mixs.yaml
host_body_temp	slot	from_schema	http://w3id.org/mixs/terms	mixs.yaml
host_color	slot	from_schema	http://w3id.org/mixs/terms	mixs.yaml
host_common_name	slot	from_schema	http://w3id.org/mixs/terms	mixs.yaml
host_diet	slot	from_schema	http://w3id.org/mixs/terms	mixs.yaml
host_disease_stat	slot	from_schema	http://w3id.org/mixs/terms	mixs.yaml
host_dry_mass	slot	from_schema	http://w3id.org/mixs/terms	mixs.yaml
host_family_relation	slot	from_schema	http://w3id.org/mixs/terms	mixs.yaml
host_genotype	slot	from_schema	http://w3id.org/mixs/terms	mixs.yaml
host_growth_cond	slot	from_schema	http://w3id.org/mixs/terms	mixs.yaml
host_height	slot	from_schema	http://w3id.org/mixs/terms	mixs.yaml
host_last_meal	slot	from_schema	http://w3id.org/mixs/terms	mixs.yaml
host_length	slot	from_schema	http://w3id.org/mixs/terms	mixs.yaml
host_life_stage	slot	from_schema	http://w3id.org/mixs/terms	mixs.yaml
host_phenotype	slot	from_schema	http://w3id.org/mixs/terms	mixs.yaml
host_sex	slot	from_schema	http://w3id.org/mixs/terms	mixs.yaml
host_shape	slot	from_schema	http://w3id.org/mixs/terms	mixs.yaml
host_subject_id	slot	from_schema	http://w3id.org/mixs/terms	mixs.yaml
host_subspecf_genlin	slot	from_schema	http://w3id.org/mixs/terms	mixs.yaml
host_substrate	slot	from_schema	http://w3id.org/mixs/terms	mixs.yaml
host_symbiont	slot	from_schema	http://w3id.org/mixs/terms	mixs.yaml
host_taxid	slot	from_schema	http://w3id.org/mixs/terms	mixs.yaml
host_tot_mass	slot	from_schema	http://w3id.org/mixs/terms	mixs.yaml
host_wet_mass	slot	from_schema	http://w3id.org/mixs/terms	mixs.yaml
humidity	slot	from_schema	http://w3id.org/mixs/terms	mixs.yaml
humidity_regm	slot	from_schema	http://w3id.org/mixs/terms	mixs.yaml
indoor_space	slot	from_schema	http://w3id.org/mixs/terms	mixs.yaml
indoor_surf	slot	from_schema	http://w3id.org/mixs/terms	mixs.yaml
indust_eff_percent	slot	from_schema	http://w3id.org/mixs/terms	mixs.yaml
inorg_particles	slot	from_schema	http://w3id.org/mixs/terms	mixs.yaml
inside_lux	slot	from_schema	http://w3id.org/mixs/terms	mixs.yaml
int_wall_cond	slot	from_schema	http://w3id.org/mixs/terms	mixs.yaml
iw_bt_date_well	slot	from_schema	http://w3id.org/mixs/terms	mixs.yaml
iwf	slot	from_schema	http://w3id.org/mixs/terms	mixs.yaml
last_clean	slot	from_schema	http://w3id.org/mixs/terms	mixs.yaml
lat_lon	slot	from_schema	http://w3id.org/mixs/terms	mixs.yaml
light_intensity	slot	from_schema	http://w3id.org/mixs/terms	mixs.yaml
light_regm	slot	from_schema	http://w3id.org/mixs/terms	mixs.yaml
light_type	slot	from_schema	http://w3id.org/mixs/terms	mixs.yaml
link_addit_analys	slot	from_schema	http://w3id.org/mixs/terms	mixs.yaml
link_class_info	slot	from_schema	http://w3id.org/mixs/terms	mixs.yaml
link_climate_info	slot	from_schema	http://w3id.org/mixs/terms	mixs.yaml
lithology	slot	from_schema	http://w3id.org/mixs/terms	mixs.yaml
local_class	slot	from_schema	http://w3id.org/mixs/terms	mixs.yaml
local_class_meth	slot	from_schema	http://w3id.org/mixs/terms	mixs.yaml
magnesium	slot	from_schema	http://w3id.org/mixs/terms	mixs.yaml
max_occup	slot	from_schema	http://w3id.org/mixs/terms	mixs.yaml
mean_frict_vel	slot	from_schema	http://w3id.org/mixs/terms	mixs.yaml
mean_peak_frict_vel	slot	from_schema	http://w3id.org/mixs/terms	mixs.yaml
mech_struc	slot	from_schema	http://w3id.org/mixs/terms	mixs.yaml
mechanical_damage	slot	from_schema	http://w3id.org/mixs/terms	mixs.yaml
methane	slot	from_schema	http://w3id.org/mixs/terms	mixs.yaml
micro_biomass_meth	slot	from_schema	http://w3id.org/mixs/terms	mixs.yaml
microbial_biomass	slot	from_schema	http://w3id.org/mixs/terms	mixs.yaml
mineral_nutr_regm	slot	from_schema	http://w3id.org/mixs/terms	mixs.yaml
misc_param	slot	from_schema	http://w3id.org/mixs/terms	mixs.yaml
n_alkanes	slot	from_schema	http://w3id.org/mixs/terms	mixs.yaml
nitrate	slot	from_schema	http://w3id.org/mixs/terms	mixs.yaml
nitrite	slot	from_schema	http://w3id.org/mixs/terms	mixs.yaml
nitro	slot	from_schema	http://w3id.org/mixs/terms	mixs.yaml
non_min_nutr_regm	slot	from_schema	http://w3id.org/mixs/terms	mixs.yaml
nucl_acid_amp	slot	from_schema	http://w3id.org/mixs/terms	mixs.yaml
nucl_acid_ext	slot	from_schema	http://w3id.org/mixs/terms	mixs.yaml
number_pets	slot	from_schema	http://w3id.org/mixs/terms	mixs.yaml
number_plants	slot	from_schema	http://w3id.org/mixs/terms	mixs.yaml
number_resident	slot	from_schema	http://w3id.org/mixs/terms	mixs.yaml
occup_density_samp	slot	from_schema	http://w3id.org/mixs/terms	mixs.yaml
occup_document	slot	from_schema	http://w3id.org/mixs/terms	mixs.yaml
occup_samp	slot	from_schema	http://w3id.org/mixs/terms	mixs.yaml
org_carb	slot	from_schema	http://w3id.org/mixs/terms	mixs.yaml
org_count_qpcr_info	slot	from_schema	http://w3id.org/mixs/terms	mixs.yaml
org_matter	slot	from_schema	http://w3id.org/mixs/terms	mixs.yaml
org_nitro	slot	from_schema	http://w3id.org/mixs/terms	mixs.yaml
org_particles	slot	from_schema	http://w3id.org/mixs/terms	mixs.yaml
organism_count	slot	from_schema	http://w3id.org/mixs/terms	mixs.yaml
owc_tvdss	slot	from_schema	http://w3id.org/mixs/terms	mixs.yaml
oxy_stat_samp	slot	from_schema	http://w3id.org/mixs/terms	mixs.yaml
oxygen	slot	from_schema	http://w3id.org/mixs/terms	mixs.yaml
part_org_carb	slot	from_schema	http://w3id.org/mixs/terms	mixs.yaml
part_org_nitro	slot	from_schema	http://w3id.org/mixs/terms	mixs.yaml
particle_class	slot	from_schema	http://w3id.org/mixs/terms	mixs.yaml
pcr_cond	slot	from_schema	http://w3id.org/mixs/terms	mixs.yaml
pcr_primers	slot	from_schema	http://w3id.org/mixs/terms	mixs.yaml
permeability	slot	from_schema	http://w3id.org/mixs/terms	mixs.yaml
perturbation	slot	from_schema	http://w3id.org/mixs/terms	mixs.yaml
pesticide_regm	slot	from_schema	http://w3id.org/mixs/terms	mixs.yaml
petroleum_hydrocarb	slot	from_schema	http://w3id.org/mixs/terms	mixs.yaml
ph	slot	from_schema	http://w3id.org/mixs/terms	mixs.yaml
ph_meth	slot	from_schema	http://w3id.org/mixs/terms	mixs.yaml
ph_regm	slot	from_schema	http://w3id.org/mixs/terms	mixs.yaml
phaeopigments	slot	from_schema	http://w3id.org/mixs/terms	mixs.yaml
phosphate	slot	from_schema	http://w3id.org/mixs/terms	mixs.yaml
phosplipid_fatt_acid	slot	from_schema	http://w3id.org/mixs/terms	mixs.yaml
photon_flux	slot	from_schema	http://w3id.org/mixs/terms	mixs.yaml
plant_growth_med	slot	from_schema	http://w3id.org/mixs/terms	mixs.yaml
plant_product	slot	from_schema	http://w3id.org/mixs/terms	mixs.yaml
plant_sex	slot	from_schema	http://w3id.org/mixs/terms	mixs.yaml
plant_struc	slot	from_schema	http://w3id.org/mixs/terms	mixs.yaml
pollutants	slot	from_schema	http://w3id.org/mixs/terms	mixs.yaml
pool_dna_extracts	slot	from_schema	http://w3id.org/mixs/terms	mixs.yaml
porosity	slot	from_schema	http://w3id.org/mixs/terms	mixs.yaml
potassium	slot	from_schema	http://w3id.org/mixs/terms	mixs.yaml
pour_point	slot	from_schema	http://w3id.org/mixs/terms	mixs.yaml
pre_treatment	slot	from_schema	http://w3id.org/mixs/terms	mixs.yaml
pres_animal_insect	slot	from_schema	http://w3id.org/mixs/terms	mixs.yaml
pressure	slot	from_schema	http://w3id.org/mixs/terms	mixs.yaml
prev_land_use_meth	slot	from_schema	http://w3id.org/mixs/terms	mixs.yaml
previous_land_use	slot	from_schema	http://w3id.org/mixs/terms	mixs.yaml
primary_prod	slot	from_schema	http://w3id.org/mixs/terms	mixs.yaml
primary_treatment	slot	from_schema	http://w3id.org/mixs/terms	mixs.yaml
prod_rate	slot	from_schema	http://w3id.org/mixs/terms	mixs.yaml
prod_start_date	slot	from_schema	http://w3id.org/mixs/terms	mixs.yaml
profile_position	slot	from_schema	http://w3id.org/mixs/terms	mixs.yaml
quad_pos	slot	from_schema	http://w3id.org/mixs/terms	mixs.yaml
radiation_regm	slot	from_schema	http://w3id.org/mixs/terms	mixs.yaml
rainfall_regm	slot	from_schema	http://w3id.org/mixs/terms	mixs.yaml
reactor_type	slot	from_schema	http://w3id.org/mixs/terms	mixs.yaml
redox_potential	slot	from_schema	http://w3id.org/mixs/terms	mixs.yaml
rel_air_humidity	slot	from_schema	http://w3id.org/mixs/terms	mixs.yaml
